Shortname,name,Paper,Stress (MPa),Strain Rate (min) /s,Time to 1% strain (s),log(time),Temperature C,ID-curve,Sol. Temp (ºC),Sol. Time (h),1 age temp (ºC),1 age time (h),2 age temp (ºC),2 age time (hr),C/T,Orientation,VolFrac (%),Notes,IndexRef,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-8.1Al-8.4W,9W,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.083",250,0.000000519,19267.82274,4.284832642,850,1-Sep,1300,12,900,200,,,1,10,58,,9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Povstugar, I. et al. Elemental partitioning, lattice misfit and creep behaviour of Cr containing gammaprime strengthened Co base superalloys. Mater. Sci. Technol. (United Kingdom) 32, 220–225 (2016).",350,3.51E-08,284900.2849,5.454692884,850,1-Sep,1300,12,900,200,,,1,10,58,"Povstugar reports g' volume fraction as 30, but Bauer reports as 58. Going with 58 and assuming 38 is a typo",9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Povstugar, I. et al. Elemental partitioning, lattice misfit and creep behaviour of Cr containing gammaprime strengthened Co base superalloys. Mater. Sci. Technol. (United Kingdom) 32, 220–225 (2016).",400,0.000000114,87719.29825,4.943095149,850,1-Sep,1300,12,900,200,,,1,10,58,"Povstugar reports g' volume fraction as 30, but Bauer reports as 58. Going with 58 and assuming 38 is a typo",9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Povstugar, I. et al. Elemental partitioning, lattice misfit and creep behaviour of Cr containing gammaprime strengthened Co base superalloys. Mater. Sci. Technol. (United Kingdom) 32, 220–225 (2016).",450,0.00000078,12820.51282,4.107905397,850,1-Sep,1300,12,900,200,,,1,10,58,"Povstugar reports g' volume fraction as 30, but Bauer reports as 58. Going with 58 and assuming 38 is a typo",9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Povstugar, I. et al. Elemental partitioning, lattice misfit and creep behaviour of Cr containing gammaprime strengthened Co base superalloys. Mater. Sci. Technol. (United Kingdom) 32, 220–225 (2016).",500,0.00000285,3508.77193,3.54515514,850,1-Sep,1300,12,900,200,,,1,10,58,"Povstugar reports g' volume fraction as 30, but Bauer reports as 58. Going with 58 and assuming 38 is a typo",9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.086",250,4.52E-09,2214103.841,6.345197985,850,1-Oct,1300,12,900,200,,,1,10,81,,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",350,2.13E-08,469263.2567,5.67141655,800,1-Oct,1300,12,900,200,,,1,10,81,"log strain rate vs 1/T, to calculate Q=740 kJ/mol (for all alloys?) similar to IN100, compression in air",10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.093",450,1.59E-07,62853.55123,4.79832982,850,1-Oct,1300,12,900,200,,,1,10,81,compression in air (and for all others in paper),10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.093",250,7.89E-07,12667.849,4.102702878,950,2-Oct,1300,12,900,200,,,1,10,81,,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.093",250,5.37E-08,186323.8308,5.270268405,900,2-Oct,1300,12,900,200,,,1,10,81,,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.094",250,4.45E-09,2245677.072,6.351347305,850,2-Oct,1300,12,900,200,,,1,10,81,,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",250,5.57E-08,179414.0338,5.253856411,850,18-1,1300,12,900,200,,,1,10,53,,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",350,4.96E-07,20177.15542,4.304859939,850,18-1,1300,12,900,200,,,1,10,53,,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",400,0.000001214,8237.23229,3.915781313,850,18-1,1300,12,900,200,,,1,10,53,,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
