Shortname,Name,Paper,Temperature C,aging time,Vf,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-12.0Ti,CoTi,"Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117011",800,24,0,,,88,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.0Ti-4.0Mo,CoTiMo,"Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117012",800,24,65,,,84,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Al-12.0Ti-4.0Mo,"""+""2Al","Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117013",800,24,72,,,82,0,2,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.Al-12.0Ti-4.0Mo,"""+""4Al","Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117014",800,24,88,,,80,0,4,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Al-10.0Ti-4.0Mo,10Ti+2Al,"Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117015",800,24,56,,,84,0,2,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.Al-8.0Ti-4.0Mo,8Ti+4Al,"Im, H. J., Choi, W. S., Ryou, K. H., Seol, J. B., Kang, T. H., Ko, W. S., & Choi, P. P. (2021). Enhanced microstructural stability of ?/??-strengthened Co-Ti-Mo-based alloys through Al additions. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117016",800,24,51,,,84,0,4,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-8.0W-0.10B,8W,"Li, Y., Pyczak, F., Oehring, M., Wang, L., Paul, J., Lorenz, U., & Yao, Z. (2017). Thermal stability of ?? phase in long-term aged Co-Al-W alloys. Journal of Alloys and Compounds, 729, 266–276. https://doi.org/10.1016/j.jallcom.2017.09.157",900,10000,35,,,82.9,0,9,0,8,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.0W-0.10B,9W,"Li, Y., Pyczak, F., Oehring, M., Wang, L., Paul, J., Lorenz, U., & Yao, Z. (2017). Thermal stability of ?? phase in long-term aged Co-Al-W alloys. Journal of Alloys and Compounds, 729, 266–276. https://doi.org/10.1016/j.jallcom.2017.09.158",900,10000,46,,,81.9,0,9,0,9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-11.0W-0.10B,11W,"Li, Y., Pyczak, F., Oehring, M., Wang, L., Paul, J., Lorenz, U., & Yao, Z. (2017). Thermal stability of ?? phase in long-term aged Co-Al-W alloys. Journal of Alloys and Compounds, 729, 266–276. https://doi.org/10.1016/j.jallcom.2017.09.159",900,10000,72,,,79.9,0,9,0,11,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-7.Al-8.0W-4.0Ti-1.0Ta,Base,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160618",1000,1000,86.2,,,60,20,7,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-15.Al-4.0Ti-1.0Ta,15Al0W,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160619",1000,1000,11.4,,,60,20,15,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-7.Al-2.0W-10.0Ti-1.0Ta,10Ti2W,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160620",1000,1000,79.4,,,60,20,7,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-7.Al-4.0W-4.0Ti-5.0Ta,5Ta4W,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160621",1000,1000,74.3,,,60,20,7,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-7.Al-3.0W-4.0Ti-1.0Ta-5.0Mo,5Mo3W,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160622",1000,1000,67.4,,,60,20,7,0,3,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-7.Al-3.0W-4.0Ti-1.0Ta-5.0Nb,5Nb3W,"Li, W., Li, L., Antonov, S., Wei, C., Zhao, J. C., & Feng, Q. (2021). High-throughput exploration of alloying effects on the microstructural stability and properties of multi-component CoNi-base superalloys. Journal of Alloys and Compounds, 881. https://doi.org/10.1016/j.jallcom.2021.160623",1000,1000,55.6,,,60,20,7,0,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.6Ni-1.7Fe-4.3Al-19.5Cr-1.0Ti-1.9Nb-4.8Mo-0.70C,Co-Ni-based superalloy,"Li, C., Teng, J., Yang, B., Ye, X., Liu, J., & Li, Y. (2021). Correlation between microstructure and mechanical properties of novel Co-Ni-based powder metallurgy superalloy. Materials Characterization, 181. https://doi.org/10.1016/j.matchar.2021.111480",800,3,30,,,31.5,34.6,4.3,19.5,0,1,0,1.9,0,4.8,0.7,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0
Co-31.0Ni-10.1Al-2.1Ta-5.1Mo,0Ti,"Mukhopadhyay, S., Pandey, P., Baler, N., Biswas, K., Makineni, S. K., & Chattopadhyay, K. (2021). The role of Ti addition on the evolution and stability of ?/?? microstructure in a Co-30Ni-10Al-5Mo-2Ta alloy. Acta Materialia, 208, 116736. https://doi.org/10.1016/j.actamat.2021.116736",900,50,50,,,51.7,31,10.1,0,0,0,2.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-32.0Ni-9.9Al-1.4Ti-1.7Ta-4.6Mo,2Ti,"Mukhopadhyay, S., Pandey, P., Baler, N., Biswas, K., Makineni, S. K., & Chattopadhyay, K. (2021). The role of Ti addition on the evolution and stability of ?/?? microstructure in a Co-30Ni-10Al-5Mo-2Ta alloy. Acta Materialia, 208, 116736. https://doi.org/10.1016/j.actamat.2021.116737",900,50,62,,,50.4,32,9.9,0,0,1.4,1.7,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.6Ni-9.2Al-3.2Ti-2.1Ta-5.1Mo,3Ti,"Mukhopadhyay, S., Pandey, P., Baler, N., Biswas, K., Makineni, S. K., & Chattopadhyay, K. (2021). The role of Ti addition on the evolution and stability of ?/?? microstructure in a Co-30Ni-10Al-5Mo-2Ta alloy. Acta Materialia, 208, 116736. https://doi.org/10.1016/j.actamat.2021.116738",900,50,75,,,49.8,30.6,9.2,0,0,3.2,2.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.5Ni-9.3Al-3.9Ti-2.2Ta-5.0Mo,4Ti,"Mukhopadhyay, S., Pandey, P., Baler, N., Biswas, K., Makineni, S. K., & Chattopadhyay, K. (2021). The role of Ti addition on the evolution and stability of ?/?? microstructure in a Co-30Ni-10Al-5Mo-2Ta alloy. Acta Materialia, 208, 116736. https://doi.org/10.1016/j.actamat.2021.116739",900,50,83,,,49.1,30.5,9.3,0,0,3.9,2.2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142007",900,,72,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142008",950,,68,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142009",1000,,68,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142010",1050,,60,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142011",1100,,49,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142012",1150,,25,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-36.8Ni-13.3Al-5.8Cr-1.0W-3.5Ta-0.0Hf-0.06C-0.08B-0.0Y,SB-CoNi-10+,"Murray, S. P., Cervellon, A., Cormier, J., & Pollock, T. M. (2021). Low cycle fatigue of a single crystal CoNi-base superalloy. Materials Science and Engineering A, 827. https://doi.org/10.1016/j.msea.2021.142013",1205,,0,,,39.394,36.8,13.3,5.8,1,0,3.5,0,0,0,0.06,0,0.08,0,0,0,0,0.04,0.026,0,0,0,0,0,0
Co-31.0Ni-9.7Al-2.3Nb-5.2Mo,2Nb0Ti,"Pandey, P., Shankar Prasad, A., Baler, N., & Chattopadhyay, K. (2021). On the effect of Ti addition on microstructural evolution, precipitate coarsening kinetics and mechanical properties in a Co–30Ni–10Al–5Mo–2Nb alloy. Materialia, 16. https://doi.org/10.1016/j.mtla.2021.101072",900,50,0,,,51.8,31,9.7,0,0,0,0,2.3,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.5Ni-9.5Al-1.0Ti-2.0Nb-4.9Mo,2Nb1Ti,"Pandey, P., Shankar Prasad, A., Baler, N., & Chattopadhyay, K. (2021). On the effect of Ti addition on microstructural evolution, precipitate coarsening kinetics and mechanical properties in a Co–30Ni–10Al–5Mo–2Nb alloy. Materialia, 16. https://doi.org/10.1016/j.mtla.2021.101073",900,50,58,,,52.1,30.5,9.5,0,0,1,0,2,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.6Ni-9.3Al-1.9Ti-2.1Nb-5.2Mo,2Nb2Ti,"Pandey, P., Shankar Prasad, A., Baler, N., & Chattopadhyay, K. (2021). On the effect of Ti addition on microstructural evolution, precipitate coarsening kinetics and mechanical properties in a Co–30Ni–10Al–5Mo–2Nb alloy. Materialia, 16. https://doi.org/10.1016/j.mtla.2021.101074",900,50,65,,,50.9,30.6,9.3,0,0,1.9,0,2.1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.7Ni-9.5Al-3.0Ti-1.9Nb-4.9Mo,2Nb3Ti,"Pandey, P., Shankar Prasad, A., Baler, N., & Chattopadhyay, K. (2021). On the effect of Ti addition on microstructural evolution, precipitate coarsening kinetics and mechanical properties in a Co–30Ni–10Al–5Mo–2Nb alloy. Materialia, 16. https://doi.org/10.1016/j.mtla.2021.101075",900,50,74,,,50,30.7,9.5,0,0,3,0,1.9,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.3Ni-9.4Al-3.9Ti-1.8Nb-4.7Mo,2Nb4Ti,"Pandey, P., Shankar Prasad, A., Baler, N., & Chattopadhyay, K. (2021). On the effect of Ti addition on microstructural evolution, precipitate coarsening kinetics and mechanical properties in a Co–30Ni–10Al–5Mo–2Nb alloy. Materialia, 16. https://doi.org/10.1016/j.mtla.2021.101076",900,50,82,,,49.9,30.3,9.4,0,0,3.9,0,1.8,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.4Ni-9.5Al-5.2Cr-2.2Nb,10Al5Cr,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093601",900,50,20,,,53.7,29.4,9.5,5.2,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.8Ni-9.5Al-5.5Cr-2.1Ti-1.9Nb,10Al5Cr2Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093602",900,50,50,,,51.2,29.8,9.5,5.5,0,2.1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.3Ni-9.5Al-8.5Cr-2.0Ti-2.0Nb,10Al8Cr2Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093603",900,50,52,,,47.7,30.3,9.5,8.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.9Ni-10.Al-11.9Cr-2.2Ti-1.9Nb,10Al12Cr2Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093604",900,50,53,,,44.1,29.9,10,11.9,0,2.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.1Al-5.3Cr-4.2Ti-2.0Nb,10Al5Cr4Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093605",900,50,56,,,49.4,30,9.1,5.3,0,4.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
