Shortname,Name,Paper,Aging Temp C,Temperature C,g' lattice parameter (nm),g lattice parameter,misfit,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-8.3Al-9.4W-0.12B,9W-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",900,25,0.3609,0.3581,0.007789,(020) peak,44,82.18,0,8.3,0,9.4,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.3Al-9.4W-0.12B,9W-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",900,850,0.3657,0.3644,0.003561,(020) peak,44,82.18,0,8.3,0,9.4,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400267",900,25,0.3619,0.3601,0.004986,"(202) peak, aged 200 hrs at 900 C",21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.W,Co-9Al-9W:HT,"Cartón-Cordero, M. et al. Microstructure and compression strength of Co-based superalloys hardened by ?? and carbide precipitation. Mater. Sci. Eng. A 734, 437–444 (2018)",900,25,,,0.0026,(111) peak,82,82,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.7Al-14.W-0.5Ti-0.4Ta,Co-2T/Ta-quinary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.005",1250,25,,,0.0029,solutionized,84,73.4,0,11.7,0,14.01,0.48,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.7Al-14.W-0.5Ti-0.4Ta,Co-2T/Ta-quinary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.005",900,25,,,0.0045,24hr aged 900C,84,73.4,0,11.7,0,14.01,0.48,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-12.1W,CoAlW-ternary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.005",1250,25,,,0.0033,solutionized,85,79.57,0,8.35,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-12.1W,CoAlW-ternary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.005",900,25,,,0.0039,24hr aged 900C,85,79.57,0,8.35,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-12.Al,Co-30Ni-12Al,"Chen, Y., Wang, C., Ruan, J., Yang, S., Omori, T., Kainuma, R., Ishida, K., Han, J., Lu, Y., & Liu, X. (2020). Development of low-density ?/?? Co–Al–Ta-based superalloys with high solvus temperature. Acta Materialia, 188, 652–664. https://doi.org/10.1016/j.actamat.2020.02.059",800,25,0.3598,0.3563,0.009775,"aged 800C for 48 hr, (111) peak",123,58,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-12.Al-12.Cr,Co-30Ni-12Al-12Cr,"Chen, Y., Wang, C., Ruan, J., Yang, S., Omori, T., Kainuma, R., Ishida, K., Han, J., Lu, Y., & Liu, X. (2020). Development of low-density ?/?? Co–Al–Ta-based superalloys with high solvus temperature. Acta Materialia, 188, 652–664. https://doi.org/10.1016/j.actamat.2020.02.062",800,25,0.3593,0.3581,0.003345,(111) peak,126,46,30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
