Shortname,Name,Paper,solvus,solidus,liquidus,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-8.1Al-8.4W,9W,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.036",960,1442,1467,9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W2Nb,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.037",1065,1373,1422,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-10.3W-2.2Ti,10w2Ti,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.038",1081,1399,1432,11,79.1,0,8.4,0,10.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-11.4W-2.1V,10W2V,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.039",1030,1420,1451,12,77.5,0,9,0,11.4,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.6Al-9.2W-1.9Ta,10W2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.040",1102,1377,1416,13,81.3,0,7.6,0,9.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W-2.Ta,8W2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.042",1101,1410,1438,15,81.5,0,8.1,0,8.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-1.9Cr-7.2W-1.6Ta,2Ta2Cr,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.043",1081,1403,1430,16,81.3,0,8,1.9,7.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-6.7W-1.4Ta-1.4Nb,2Ta2Nb,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.045",1078,1387,1409,17,82.4,0,8.1,0,6.7,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,2Ta2Si,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.046",1055,1389,1410,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-8.2Al-7.5W-1.9Ta-2.V,2Ta2V,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.047",1115,1399,1425,19,80.4,0,8.2,0,7.5,0,1.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.6W-1.8Ta-1.8Mo,2T2Mo,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.048",1082,1397,1416,20,78.6,0,8.2,0,9.6,0,1.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.049",1137,1492,1452,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-5.7W-2.Ta-1.5Mo,W2Ta2Mo,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.050",1077,1403,1428,22,82.8,0,8,0,5.7,0,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,W2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.051",1058,1415,1449,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch77",977,1425,1454,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",947,1412,1440,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-16.5Cr-9.W,9W-16Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",860,1372,1409,26,66.1,0,8.4,16.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Ni-9.1Al-8.2Cr-9.6W,9W-8Cr-9Ni-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch82",958,1418,1439,29,63.87,9.2,9.1,8.2,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-18.Ni-8.6Al-8.1Cr-8.8W,9w-8Cr-18Ni-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch83",978,1420,1441,30,56.5,18,8.6,8.1,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
