Shortname,Name,Paper,solvus,solidus,liquidus,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-29.5Ni-9.6Al-12.7Cr-4.5Ti-1.9Nb,Co10Al2Nb,"Baler, N., Pandey, P., Chattopadhyay, K., & Phanikumar, G. (2020). Influence of Thermomechanical Processing Parameters on Microstructural Evolution of a Gamma-Prime Strengthened Cobalt Based Superalloy During High Temperature Deformation. Materials Science and Engineering: A, 139498. https://doi.org/10.1016/j.msea.2020.139498",1053,,,1,41.8,29.5,9.6,12.7,0,4.5,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.W-2.Ti-2.Ta-3.Mo,Co–30Ni–3Mo– 10Al–2Ta–2Ti–2W,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100634",1130,,,6,51,30,10,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-1.5W-2.Ti-2.Ta-3.5Mo,Co–30Ni–3.5Mo– 10Al–2Ta–2Ti–1.5W,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100633",1118,,,5,51,30,10,0,1.5,2,2,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-1.W-2.Ti-2.Ta-4.Mo,Co–30Ni–4Mo– 10Al–2Ta–2Ti–1W,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100636",1112,,,4,51,30,10,0,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-0.5W-2.Ti-2.Ta-4.5Mo,Co–30Ni–4.5Mo– 10Al–2Ta–2Ti–0.5W,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100635",1100,,,3,51,30,10,0,0.5,2,2,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.1Ni-10.8Al-10.8Cr-2.5Ta-4.Mo-0.22C-0.05Zr-0.22B,3Ta0Nb,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100632",1082,,,8,40.21,31.14,10.76,10.83,0,0,2.54,0,0,4.03,0.22,0.05,0.22,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-2.Ta-5.Mo,Co–30Ni–5Mo– 10Al–2Ta–2Ti–0W,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100637",1070,,,2,51,30,10,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.1Ni-10.6Al-10.7Cr-1.9Ta-1.Nb-4.Mo-0.31C-0.04Zr-0.19B,2Ta1Nb,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100632",1065,,,7,40.26,31.07,10.6,10.67,0,0,1.88,0.99,0,3.99,0.31,0.04,0.19,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-10.Cr-2.Ta-2.Nb-5.Mo,2Nb10Cr2Ti,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",1045,,,782,41,30,10,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-10.Cr-2.Nb-5.Mo,2Nb10Cr,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",1030,,,780,43,30,10,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-5.Mo,20Nb2Ti,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",1005,,,781,53,30,10,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
